,pid
0,0005089549
1,000503860X
2,0005419263
3,0005092663
4,0005019281
5,0005119367
6,0005123968
7,0006486576
8,0307142477
9,0307142493
10,0310271908
11,0310396336
12,0375810331
13,0510539610
14,0578047861
15,0615115187
16,0738921467
17,0738920061
18,0738920762
19,0739040375
20,0740318764
21,0740325124
22,0757915655
23,0764000969
24,0764005529
25,0764006401
26,0764004581
27,0764003828
28,0764008722
29,0764193627
30,076700941X
31,0767001311
32,0767015525
33,0767023447
34,0767018699
35,0767020294
36,0767087372
37,0767020731
38,0767027329
39,0767025512
40,0767023765
41,0767019245
42,0767803310
43,0767803434
44,0767808673
45,0767809726
46,0767809254
47,0767805534
48,0767813421
49,076780192X
50,0767819454
51,0767819462
52,0767801814
53,0767819519
54,0767811704
55,0767815335
56,0767815963
57,0767826728
58,0767817737
59,0767827686
60,0767830555
61,0767821408
62,0767726227
63,0767800311
64,0767817664
65,0767837398
66,0767834739
67,0767817486
68,0767818105
69,0767835069
70,0767839129
71,0767821807
72,0767853636
73,0767814908
74,0767850823
75,0767836359
76,0767821610
77,076780046X
78,0767811089
79,0767088247
80,0767839277
81,0767824555
82,0767824571
83,0767805712
84,076785344X
85,0767817648
86,0767882938
87,0767802799
88,0767804325
89,0767827759
90,0769720307
91,0769721036
92,0769770444
93,0778607704
94,0780021045
95,0780021932
96,0780020715
97,0780021649
98,0780022319
99,0780620372
100,0780621956
101,0780023196
102,0780606957
103,078062176X
104,0780023099
105,0780615573
106,0780622677
107,0780622189
108,0780622383
109,078060718X
110,078062386X
111,0780621638
112,0780626699
113,0780627822
114,0780021088
115,0780630068
116,0780626613
117,0780622537
118,0780023447
119,0780629752
120,078062582X
121,0780020855
122,0780625390
123,0780626702
124,0780022386
125,0780630866
126,0780023161
127,0780623614
128,078065062X
129,0780662504
130,0780623223
131,0780621832
132,0780620496
133,078063134X
134,0780630874
135,0780635299
136,0781740681
137,0782007848
138,0782010792
139,0782006752
140,0782008119
141,0782008372
142,078201061X
143,0783114729
144,0783114222
145,0783111037
146,0783112750
147,0783211201
148,078311530X
149,078310135X
150,0783111509
151,0782010040
152,0783218923
153,0783217048
154,0783110960
155,0783110901
156,0783222726
157,0783115539
158,0783224788
159,0783222424
160,0783211694
161,0783227272
162,0783226853
163,0783226535
164,0783225857
165,0783114907
166,0783116640
167,0783226608
168,0783226799
169,0783224583
170,0783228252
171,0783228686
172,0783227930
173,0783228341
174,0783225911
175,078322995X
176,0783226896
177,0783217498
178,0783117159
179,0783209967
180,078322723X
181,0783230427
182,078322687X
183,0783226985
184,0783231032
185,078322561X
186,0783229747
187,0783239955
188,0783229569
189,0783230346
190,0783227361
191,0783240473
192,0783241569
193,0783227892
